number of locker:14
0,118.764082,32.241053,1
1,118.81737,32.105775,0
2,118.833397,31.90207,1
3,118.79073,32.023645,1
4,118.733043,32.002592,0
5,118.810838,32.042773,0
6,118.826643,31.951327,1
7,118.737614,32.01082,0
8,118.78618,31.98648,0
9,118.756,32.04356,1
10,118.746414,32.094077,0
11,118.80101,32.045351,1
12,118.725489,31.989837,0
13,118.785502,32.085767,1
number of tasks:60
11,0,(750,825)
13,1,(1140,1200)
1,4,(990,1155)
6,2,(1110,1245)
10,11,(660,780)
9,13,(1155,1275)
11,13,(1140,1245)
6,3,(1095,1185)
8,12,(1035,1185)
12,5,(750,900)
13,7,(1020,1095)
6,13,(795,945)
13,12,(990,1065)
2,6,(750,915)
8,13,(1140,1305)
3,7,(915,990)
7,11,(990,1095)
2,11,(795,855)
5,8,(1050,1185)
5,10,(540,675)
6,4,(525,690)
11,10,(480,645)
1,5,(1125,1185)
5,4,(810,885)
8,0,(1125,1215)
12,9,(870,1005)
11,4,(990,1140)
8,12,(1230,1380)
12,11,(855,975)
10,8,(990,1125)
0,2,(1140,1305)
6,7,(1230,1395)
3,5,(990,1140)
0,12,(660,750)
10,1,(1080,1155)
3,8,(1020,1080)
12,11,(540,645)
12,2,(885,990)
2,8,(780,930)
7,5,(660,825)
9,11,(810,870)
3,5,(1065,1230)
9,4,(480,645)
6,8,(480,615)
8,13,(555,720)
10,7,(525,660)
7,2,(885,1035)
1,0,(720,855)
1,0,(1125,1215)
8,3,(660,810)
11,9,(855,960)
6,8,(705,765)
6,4,(840,945)
5,0,(1140,1215)
11,9,(1125,1215)
6,12,(495,555)
5,6,(675,810)
5,4,(1155,1305)
8,13,(1065,1200)
3,2,(840,960)
