number of locker:6
0,117.193934,31.858655,0
1,117.275325,31.851986,1
2,117.309396,31.83736,1
3,117.313986,31.877897,1
4,117.286178,31.88628,0
5,117.327538,31.861642,0
number of tasks:20
4,0,(825,915)
1,2,(720,855)
4,3,(1110,1260)
0,4,(510,660)
2,1,(675,810)
4,1,(975,1110)
5,2,(585,660)
4,3,(825,900)
5,1,(1035,1095)
1,2,(735,795)
1,4,(1185,1260)
2,3,(750,900)
1,4,(975,1125)
4,2,(1095,1185)
0,3,(705,765)
5,4,(885,945)
5,1,(1050,1140)
3,0,(1035,1095)
0,2,(645,795)
3,0,(765,900)
