number of locker:19
0,116.301146,39.868571,0
1,116.385115,39.855678,0
2,116.479714,39.988116,0
3,116.30445,39.939232,0
4,116.467319,39.921818,0
5,116.376745,40.106884,1
6,116.419709,39.921397,0
7,116.505102,39.979659,0
8,116.363943,39.937717,0
9,116.356626,39.949421,1
10,116.322892,39.983633,0
11,116.36636,39.959313,1
12,116.295945,39.949737,0
13,116.371776,39.980227,0
14,116.366192,39.946839,1
15,116.372696,39.947528,0
16,116.425413,40.052886,1
17,116.446312,40.052313,1
18,116.256733,39.986814,1
number of tasks:50
1,10,(825,915)
5,9,(720,855)
11,7,(1110,1260)
5,11,(510,660)
0,15,(675,810)
12,11,(975,1110)
5,18,(585,660)
1,5,(825,900)
0,13,(1035,1095)
14,15,(735,795)
0,7,(1185,1260)
10,9,(750,900)
11,15,(975,1125)
17,16,(1095,1185)
17,6,(705,765)
6,11,(885,945)
15,5,(1050,1140)
4,13,(1035,1095)
5,11,(645,795)
1,11,(765,900)
8,17,(990,1125)
15,6,(1110,1245)
9,10,(1155,1275)
14,6,(555,675)
6,10,(720,870)
6,0,(600,735)
13,12,(975,1110)
18,7,(1215,1305)
7,1,(660,720)
4,6,(780,840)
10,1,(1230,1290)
4,18,(690,825)
1,11,(915,990)
6,11,(720,870)
7,1,(1095,1230)
10,2,(510,570)
7,6,(660,810)
10,7,(960,1050)
7,1,(690,840)
7,1,(810,960)
9,4,(1035,1170)
9,1,(840,975)
17,5,(1170,1320)
5,11,(1125,1200)
3,7,(510,630)
4,5,(810,870)
17,9,(1020,1155)
3,0,(540,630)
15,6,(645,765)
17,10,(1065,1215)
