number of locker:19
0,116.301146,39.868571,0
1,116.385115,39.855678,0
2,116.479714,39.988116,0
3,116.30445,39.939232,0
4,116.467319,39.921818,0
5,116.376745,40.106884,1
6,116.419709,39.921397,0
7,116.505102,39.979659,0
8,116.363943,39.937717,0
9,116.356626,39.949421,1
10,116.322892,39.983633,0
11,116.36636,39.959313,1
12,116.295945,39.949737,0
13,116.371776,39.980227,0
14,116.366192,39.946839,1
15,116.372696,39.947528,0
16,116.425413,40.052886,1
17,116.446312,40.052313,1
18,116.256733,39.986814,1
number of tasks:100
7,10,(825,915)
17,1,(720,855)
9,7,(1110,1260)
4,5,(510,660)
5,7,(675,810)
7,0,(975,1110)
17,7,(585,660)
14,6,(825,900)
15,12,(1035,1095)
12,5,(735,795)
10,18,(1185,1260)
7,5,(750,900)
14,1,(975,1125)
7,17,(1095,1185)
12,9,(705,765)
9,16,(885,945)
7,11,(1050,1140)
14,13,(1035,1095)
10,8,(645,795)
14,2,(765,900)
7,2,(990,1125)
4,15,(1110,1245)
9,16,(1155,1275)
13,18,(555,675)
0,9,(720,870)
18,2,(600,735)
12,13,(975,1110)
6,5,(1215,1305)
7,16,(660,720)
11,7,(780,840)
11,10,(1230,1290)
10,13,(690,825)
18,6,(915,990)
16,2,(720,870)
13,3,(1095,1230)
14,2,(510,570)
5,13,(660,810)
5,0,(960,1050)
16,3,(690,840)
8,2,(810,960)
15,7,(1035,1170)
9,14,(840,975)
16,15,(1170,1320)
9,17,(1125,1200)
8,7,(510,630)
18,10,(810,870)
3,15,(1020,1155)
5,17,(540,630)
3,7,(645,765)
8,9,(1065,1215)
17,6,(960,1020)
1,10,(480,600)
9,4,(585,675)
18,11,(885,1005)
18,1,(1140,1290)
4,15,(660,750)
15,1,(765,885)
16,17,(1065,1200)
18,10,(960,1110)
8,1,(600,735)
15,11,(705,795)
2,7,(1005,1125)
11,4,(1215,1350)
11,10,(735,810)
17,5,(900,1050)
6,18,(855,930)
8,2,(1020,1110)
16,0,(540,690)
2,1,(645,720)
11,6,(945,1080)
17,10,(480,600)
6,11,(795,870)
18,5,(1005,1125)
9,10,(1245,1305)
0,9,(1095,1230)
9,4,(660,780)
9,8,(885,960)
15,1,(1065,1215)
5,13,(615,675)
8,16,(915,1035)
16,2,(960,1110)
17,8,(645,720)
8,0,(555,690)
12,0,(855,945)
15,3,(945,1065)
11,18,(1200,1335)
17,1,(525,600)
9,11,(645,780)
2,18,(870,990)
10,9,(990,1140)
9,18,(540,675)
18,9,(585,675)
16,0,(735,885)
3,2,(930,990)
3,9,(525,585)
5,0,(600,660)
0,18,(870,945)
11,13,(1110,1260)
1,0,(660,810)
17,18,(585,720)
